2018-02-26T16:08:20.349732,0,5,2,44,70.6,72.2,74.2,74.9,58.4
2018-02-26T16:08:35.132117,0,5,2,47,73.7,76.7,69.3,77.6,63.9
2018-02-26T16:08:42.892630,0,5,2,46,71.8,76.2,74.3,69.7,69.1
2018-02-26T16:08:48.200112,0,5,2,44,74.3,66.8,67.0,75.2,74.9
2018-02-26T16:08:59.568932,0,5,3,47,73.7,76.3,71.0,73.4,77.6
2018-02-26T16:09:12.990860,0,6,2,45,74.0,73.4,49.7,73.8,68.9,72.6
2018-02-26T16:09:15.701099,0,6,2,44,75.4,58.0,70.6,75.9,70.1,75.0
2018-02-26T16:09:19.533142,0,6,2,44,75.7,71.2,72.4,77.4,72.2,76.3
2018-02-26T16:09:21.780421,0,6,2,45,75.8,71.1,75.3,79.0,72.9,76.3
2018-02-26T16:09:34.676730,0,6,2,46,77.1,72.2,63.6,73.6,68.7,78.6
2018-02-26T16:09:53.113304,0,6,2,48,74.9,69.7,56.4,75.4,74.0,72.4
2018-02-26T16:10:03.009048,0,6,2,47,73.3,73.4,57.7,70.4,68.9,78.0
2018-02-26T16:10:10.304785,0,6,3,46,75.3,68.7,58.1,72.0,69.5,69.7
2018-02-26T16:10:21.617288,0,7,2,47,75.7,72.0,55.8,58.0,76.3,75.7,74.9
2018-02-26T16:10:33.049323,0,7,2,43,73.2,75.1,62.7,56.1,72.1,70.8,75.2
2018-02-26T16:10:42.738663,0,7,2,48,74.7,71.5,64.7,57.9,74.6,75.6,75.4
2018-02-26T16:11:37.061223,0,7,2,45,73.5,70.9,69.7,56.6,74.4,74.7,73.6
2018-02-26T16:11:39.373529,0,7,2,45,72.6,73.0,73.4,68.8,73.4,79.4,74.9
2018-02-26T16:11:53.797440,0,8,1,48,75.1,70.9,74.7,57.9,71.6,75.6,73.5,73.8
2018-02-26T16:12:08.430881,0,8,2,45,72.4,72.1,70.7,80.3,70.0,72.4,75.4,70.2
2018-02-26T16:12:14.657237,0,8,2,43,75.4,76.2,76.9,71.7,73.2,76.7,69.7,74.5
2018-02-26T16:12:20.909547,0,8,2,42,77.6,66.5,76.6,78.7,72.2,78.5,75.5,74.4
2018-02-26T16:12:32.777354,0,8,2,40,72.2,72.1,69.2,78.2,70.6,71.3,76.2,70.1
2018-02-26T16:12:44.046876,0,8,2,40,74.8,70.5,76.5,69.3,71.2,75.9,72.7,73.9
2018-02-26T16:13:00.710109,0,9,1,37,73.6,71.6,60.2,72.0,72.7,71.5,72.9,77.4,70.9
2018-02-26T16:13:18.801818,0,9,0,37,76.5,70.3,61.4,73.3,74.1,71.6,74.5,75.0,74.3
